ISBN,SUBJECT_ID,SUBJECT_TEXT
9788741261188,Psykolingvistik og statistik,Psykolingvistik og statistik
9780140444490,Søren Kierkegaard and the Challenge of Existence,Søren Kierkegaard and the Challenge of Existence
9780140445336,Søren Kierkegaard and the Challenge of Existence,Søren Kierkegaard and the Challenge of Existence
9788759336274,Sprog og kontekst,Sprog og kontekst
9788778673688,Sprog og kontekst,Sprog og kontekst
9788727018065,Danskfagets teori og metoder,Danskfagets teori og metoder
9788793060814,Danskfagets teori og metoder,Danskfagets teori og metoder
9781138185593,Sociolingvistikkens nye tendenser,Sociolingvistikkens nye tendenser
9788757438949,"Kommunikation: Ledelse, organisation og kommunikat","Kommunikation: Ledelse, organisation og kommunikat"
9788759333983,"Kommunikation: Ledelse, organisation og kommunikat","Kommunikation: Ledelse, organisation og kommunikat"
9788702307900,Danskfagets didaktik,Danskfagets didaktik
9788772162010,Danskfagets didaktik,Danskfagets didaktik
9780007221837,"Hav, kyst og klima i dansk og nordisk litteratur:","Hav, kyst og klima i dansk og nordisk litteratur:"
9780226526812,"Hav, kyst og klima i dansk og nordisk litteratur:","Hav, kyst og klima i dansk og nordisk litteratur:"
9788702241143,"Hav, kyst og klima i dansk og nordisk litteratur:","Hav, kyst og klima i dansk og nordisk litteratur:"
9788702282733,"Hav, kyst og klima i dansk og nordisk litteratur:","Hav, kyst og klima i dansk og nordisk litteratur:"
9788711910511,"Hav, kyst og klima i dansk og nordisk litteratur:","Hav, kyst og klima i dansk og nordisk litteratur:"
9788743403258,"Hav, kyst og klima i dansk og nordisk litteratur:","Hav, kyst og klima i dansk og nordisk litteratur:"
9788772388045,"Hav, kyst og klima i dansk og nordisk litteratur:","Hav, kyst og klima i dansk og nordisk litteratur:"
9788793312524,"Hav, kyst og klima i dansk og nordisk litteratur:","Hav, kyst og klima i dansk og nordisk litteratur:"
9788759340028,Kommunikationsrådgivning og rådgiverens rolle,Kommunikationsrådgivning og rådgiverens rolle
9781138671416,Andetsprogstilegnelse,Andetsprogstilegnelse
9781316603925,Andetsprogstilegnelse,Andetsprogstilegnelse
9780241994573,Transatlantic Feminisms,Transatlantic Feminisms
9780374515348,Transatlantic Feminisms,Transatlantic Feminisms
9781913097158,Transatlantic Feminisms,Transatlantic Feminisms
9782072763137,Transatlantic Feminisms,Transatlantic Feminisms
9780367563257,"Fremmedsprogstilegnelse, kultur og didaktik","Fremmedsprogstilegnelse, kultur og didaktik"
9781847084163,Writing in English: Creative Non-Fiction in Englis,Writing in English: Creative Non-Fiction in Englis
9780198826736,"Culture 2: Literature, History and Culture","Culture 2: Literature, History and Culture"
9780199535811,"Culture 2: Literature, History and Culture","Culture 2: Literature, History and Culture"
9780199668717,"Culture 2: Literature, History and Culture","Culture 2: Literature, History and Culture"
9780393603118,"Culture 2: Literature, History and Culture","Culture 2: Literature, History and Culture"
