STUDY_ID,STUDY_TEXT,SUBJECT_ID,SUBJECT_TEXT,SEMESTER_TEXT
803,Audiologopædi,Psykolingvistik og statistik,Psykolingvistik og statistik,Bachelor
810,Danish culture courses,Søren Kierkegaard and the Challenge of Existence,Søren Kierkegaard and the Challenge of Existence,Bachelor
812,Dansk,Sprog og kontekst,Sprog og kontekst,1.år/2.sem/Bach
812,Dansk,Danskfagets teori og metoder,Danskfagets teori og metoder,2.år/4.sem/Bach
812,Dansk,Sociolingvistikkens nye tendenser,Sociolingvistikkens nye tendenser,3.år/6.sem/Bach
812,Dansk,"Kommunikation: Ledelse, organisation og kommunikat","Kommunikation: Ledelse, organisation og kommunikat",Bachelor
812,Dansk,Danskfagets didaktik,Danskfagets didaktik,Kandidat
812,Dansk,"Hav, kyst og klima i dansk og nordisk litteratur:","Hav, kyst og klima i dansk og nordisk litteratur:",Kandidat
812,Dansk,Kommunikationsrådgivning og rådgiverens rolle,Kommunikationsrådgivning og rådgiverens rolle,Kandidat
813,Dansk som andetsprog,Andetsprogstilegnelse,Andetsprogstilegnelse,Bachelor
892,"EnGeRom - Engelsk, Germansk, Romanske Studier",Transatlantic Feminisms,Transatlantic Feminisms,Bachelor
892,"EnGeRom - Engelsk, Germansk, Romanske Studier","Fremmedsprogstilegnelse, kultur og didaktik","Fremmedsprogstilegnelse, kultur og didaktik",Kandidat
892,"EnGeRom - Engelsk, Germansk, Romanske Studier",Writing in English: Creative Non-Fiction in Englis,Writing in English: Creative Non-Fiction in Englis,Master.
815,Engelsk,"Culture 2: Literature, History and Culture","Culture 2: Literature, History and Culture",1.år/2.sem/Bach
815,Engelsk,"Sprog 2: fonetik, grammatik og oversættelse","Sprog 2: fonetik, grammatik og oversættelse",1.år/2.sem/Bach
815,Engelsk,"American Studies, American Politics, and American","American Studies, American Politics, and American",2.år/4.sem/Bach
815,Engelsk,The Fantastic in Literature: From Book to Film,The Fantastic in Literature: From Book to Film,2.år/4.sem/Bach
815,Engelsk,"Elective Subject, topic 1: Literature and Emotions","Elective Subject, topic 1: Literature and Emotions",Bachelor
815,Engelsk,"Global English: Accents, intelligibility and compr","Global English: Accents, intelligibility and compr",Bachelor
815,Engelsk,At Sixes and Sevens: The US and the UK in an age..,At Sixes and Sevens: The US and the UK in an age..,Kandidat
815,Engelsk,"Literature, history and culture","Literature, history and culture",Kandidat
815,Engelsk,Mirror of Modernity: Sensation and 19th-Cent. Fict,Mirror of Modernity: Sensation and 19th-Cent. Fict,Kandidat
815,Engelsk,Mirror of Modernity: Sensation and 19th-Cent.Fict.,Mirror of Modernity: Sensation and 19th-Cent.Fict.,Kandidat
815,Engelsk,The Self and the World in 21th.Cent. U.S fiction,The Self and the World in 21th.Cent. U.S fiction,Kandidat
815,Engelsk,Writing Africa: Four Perspectives on Nigerian and,Writing Africa: Four Perspectives on Nigerian and,Kandidat
818,Film- og medievidenskab,Digital Strategic Communication,Digital Strategic Communication,Bachelor
818,Film- og medievidenskab,Digital strategisk kommunikation,Digital strategisk kommunikation,Bachelor
818,Film- og medievidenskab,Kvalitative og kvantitative metoder i film- og...,Kvalitative og kvantitative metoder i film- og...,Bachelor
819,Filosofi,"Argumentationsteori, logik og sprogfilosofi","Argumentationsteori, logik og sprogfilosofi",1.år/2.sem/Bach
819,Filosofi,Videnskabsfilosofi og anvendt filosofi,Videnskabsfilosofi og anvendt filosofi,2.år/4.sem/Bach
819,Filosofi,Videnskabsfilosofi og anvendt filosofi (ÅU),Videnskabsfilosofi og anvendt filosofi (ÅU),Deltid/Åben uni
822,Fransk sprog og kultur,Oversættelse: Fransk-dansk,Oversættelse: Fransk-dansk,Bachelor
826,Historie,Hverdag og krig i Danmark 1940-1945 (Område 2),Hverdag og krig i Danmark 1940-1945 (Område 2),1.år/2.sem/Bach
826,Historie,"Liberale, konservative og kampen om amerikansk j..","Liberale, konservative og kampen om amerikansk j..",1.år/2.sem/Bach
826,Historie,Velfærdsstat og børneforsorg i Danmark i det 20. å,Velfærdsstat og børneforsorg i Danmark i det 20. å,1.år/2.sem/Bach
826,Historie,HIS 76. Bibelen - en boghistorie,HIS 76. Bibelen - en boghistorie,2.år/4.sem/Bach
826,Historie,"Radikalisering i oplysningstiden: køn, politik og","Radikalisering i oplysningstiden: køn, politik og",3.år/6.sem/Bach
826,Historie,Efter den Kolde Krig var forbi. Fra Engagement til,Efter den Kolde Krig var forbi. Fra Engagement til,Bachelor
826,Historie,Sporten og dens samfundsmæssige betydning i den se,Sporten og dens samfundsmæssige betydning i den se,Bachelor
826,Historie,Go West. Historiske perspektiver på USA's kulturel,Go West. Historiske perspektiver på USA's kulturel,Deltid/Åben uni
826,Historie,Oplysningstiden som ideal eller dystopi: 1700-tall,Oplysningstiden som ideal eller dystopi: 1700-tall,Kandidatfag
831,Informationsstudier,Design og formidling,Design og formidling,Bachelor
831,Informationsstudier,Internet og samfund,Internet og samfund,Bachelor
831,Informationsstudier,Kulturens institutioner og aktører + TV,Kulturens institutioner og aktører + TV,Bachelor
831,Informationsstudier,Videnskabsteori,Videnskabsteori,Bachelor
840,Japanstudier,"Intro. to Japan's history, culture and society B/2","Intro. to Japan's history, culture and society B/2",Bachelor
