UNIVERSITY_ID,UNIVERSITY_TEXT,STUDY_ID,STUDY_TEXT
6273796,KU - Det Humanistiske Fakultet,803,Audiologopædi
6273796,KU - Det Humanistiske Fakultet,810,Danish culture courses
6273796,KU - Det Humanistiske Fakultet,812,Dansk
6273796,KU - Det Humanistiske Fakultet,813,Dansk som andetsprog
6273796,KU - Det Humanistiske Fakultet,892,"EnGeRom - Engelsk, Germansk, Romanske Studier"
6273796,KU - Det Humanistiske Fakultet,815,Engelsk
6273796,KU - Det Humanistiske Fakultet,818,Film- og medievidenskab
6273796,KU - Det Humanistiske Fakultet,819,Filosofi
6273796,KU - Det Humanistiske Fakultet,822,Fransk sprog og kultur
6273796,KU - Det Humanistiske Fakultet,826,Historie
6273796,KU - Det Humanistiske Fakultet,831,Informationsstudier
6273796,KU - Det Humanistiske Fakultet,840,Japanstudier
6273796,KU - Det Humanistiske Fakultet,841,Kinastudier
6273796,KU - Det Humanistiske Fakultet,844,Kommunikation
6273796,KU - Det Humanistiske Fakultet,845,Kommunikation og IT
6273796,KU - Det Humanistiske Fakultet,848,Kunsthistorie
6273796,KU - Det Humanistiske Fakultet,852,Lingvistik
6273796,KU - Det Humanistiske Fakultet,853,Litteraturvidenskab
6273796,KU - Det Humanistiske Fakultet,855,Master in Applied Cultural Analysis (MACA)
6273796,KU - Det Humanistiske Fakultet,857,Mellemøstens sprog og samfund
6273796,KU - Det Humanistiske Fakultet,873,Pædagogik
6273796,KU - Det Humanistiske Fakultet,874,Religionsvidenskab
6273796,KU - Det Humanistiske Fakultet,876,Retorik
6273796,KU - Det Humanistiske Fakultet,893,"SAXO Arkæologi, Etnologi, Historie, Græsk og Latin"
6273796,KU - Det Humanistiske Fakultet,882,Teater- og performancestudier
6273796,KU - Det Humanistiske Fakultet,885,Tværkulturelle studier
6273796,KU - Det Humanistiske Fakultet,887,Tysk sprog og kultur
6273796,KU - Det Humanistiske Fakultet,888,Visuel kultur
6273796,KU - Det Humanistiske Fakultet,891,Østeuropastudier
6273798,KU - Det Juridiske Fakultet,900,Jura Bachelor
6273798,KU - Det Juridiske Fakultet,901,Jura Kandidat
6273798,KU - Det Juridiske Fakultet,904,Jura Masteruddannelse
6273798,KU - Det Juridiske Fakultet,903,Politiskolen - Grunduddannelsen
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,421,Agricultural Economics
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,422,Agriculture  Agronom
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,653,Biokemi
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,654,Biologi
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,400,Biologi - bioteknologi
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,424,Biology-Biotechnology
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,440,Climate Change
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,655,Datalogi
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,617,Datalogi-Økonomi
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,656,De fysiske fag
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,657,De kemiske fag
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,426,Environmental & Natural Resource Economics
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,445,Environmental Science
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,427,Food Science & Technology
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,428,Forest & Nature Management
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,659,Forsikringsmatematik
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,401,Fødevarer og ernæring
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,715,Geografi & geoinformatik
6273800,KU - Det Natur- og Biovidenskabelige Fakultet,716,Geologi & geoscience
