university_text,study_text
CBS,"BSc BLC Business, Language and Culture"
CBS,BSc Business Administration & Service Management
CBS,BSc DM Business administration & digital managemen
CBS,BSc IBA - International Business in Asia
CBS,BSc IBA Asian Lang. & Cul. - Interna. Buss. i Asia
CBS,BSc International Business
CBS,BSc International Business & Politics
CBS,BSc in Business Administration and Sociology
CBS,BSc in International Shipping and Trade
CBS,Bachelor Valgfag
CBS,CM Finansiering & Regnskab (FIR)
CBS,CM Valgfag
CBS,CM Økonomisk Markedsføring (EMF)
CBS,Cand.merc.aud.
CBS,Cand.merc.jur.
CBS,Cand.merc.mat.
CBS,Cand.merc.psyk
CBS,HA (it.)
CBS,HA Europæisk business
CBS,HA Mak - Markeds- og Kulturanalyse
CBS,HA pro. - Erhvervsøkonomi og projektledelse
CBS,HA(fil.)
CBS,HA(jur.)
CBS,HA(kom.)
CBS,HA(mat.)
CBS,HA(psyk.)
CBS,HA-Almen Erhvervsøkonomi
CBS,HD 1. del
CBS,HD 2. del: Finansiel Rådgivning
CBS,HD 2. del: Finansiering
CBS,HD 2. del: Organisation & Ledelse
CBS,HD 2. del: Regnskab & Økonomistyring
CBS,HD 2. del: Supply Chain Management
CBS,HD 2.del: Business
CBS,HD 2.del: International business
CBS,HD 2.del: Strategisk Salg og Marketing
CBS,MBD Master of business development
CBS,MSc Applied Economics & Finance (AEF)
CBS,MSc BLC Business and Development Studies (BADS)
CBS,MSc Brand and Communications Management (BCM)
CBS,MSc Business Admin. & Data Science (MSc DS)
CBS,MSc Business Admin. & Information Systems (MSc IS)
CBS,MSc Business Admin. Innovation in Health Car (IHC)
CBS,MSc Business Administration and Digital Business
CBS,MSc Finance & Strategic Management (FSM)
CBS,MSc International Marketing & Management (IMM)
CBS,MSc Supply Chain Management (SCM)
CBS,MSc in General Management and Analytics (GMA)
CBS,MSocSc Human Resource Management (HRM)
CBS,MSocSc OIE SDE Strategic Design & Entrepreneurship
CBS,Master i Skat
CBS,Master of Public Governance
DMJX,Kommunikation DMJX KBH
DMJX,Medieproduktion og Ledelse DMJX KBH
DMJX,TV - og Medietilrettelæggelse DMJX KBH
DMJX,Visuel Kommunikation DMJX KBH
Finanssektorens Arbejdsgiverforening (FA),Fysioterapeutuddannelsen Campus Nordsjælland
Finanssektorens Arbejdsgiverforening (FA),Pædagoguddannelsen Campus Nordsjælland
IT-Universitetet,Computer Science
IT-Universitetet,Data Science/datavidenskab
IT-Universitetet,Digital Design and Interactive Technologies
IT-Universitetet,Global Business Informatics
IT-Universitetet,Software Design
IT-Universitetet,Software Development/Softwareudvikling
KP,Læreruddannelsen Campus Carlsberg
KP,Pædagoguddannelsen Campus Carlsberg
KP,Fysioterapeutuddannelsen Campus Nordsjælland
KP,Pædagoguddannelsen Campus Nordsjælland
KP,Sygeplejerske Campus Nordsjælland
KP,Administrationsbachelor - Tagensvej 86
KP,Bioanalytiker  Campus Sigurdsgade
KP,"Diplomuddannelse i biotek.,  procestek. og kemi"
KP,Ergoterapeut  Campus Sigurdsgade
KP,Ernæring og sundhed  Campus Sigurdsgade
KP,Fysioterapeut  Campus Sigurdsgade
KP,Jordemoder  Campus Sigurdsgade
KP,Katastrofe og risikomanager  Campus Sigurdsgade
KP,Laborant  Campus Sigurdsgade
KP,Professionsbachelor i skat  Tagensvej 86
KP,Radiograf  Campus Sigurdsgade
KP,Sundhedsadministrative koordinatoruddannelse
KP,Sygeplejerske Campus Tagensvej
KU,Audiologopædi
KU,Danish culture courses
KU,Dansk
KU,Dansk som andetsprog
KU,"EnGeRom - Engelsk, Germansk, Romanske Studier"
KU,Engelsk
KU,Film- og medievidenskab
KU,Filosofi
KU,Fransk sprog og kultur
KU,Historie
KU,Informationsstudier
KU,Japanstudier
KU,Kinastudier
KU,Kommunikation
KU,Kommunikation og IT
KU,Kunsthistorie
KU,Lingvistik
KU,Litteraturvidenskab
KU,Master in Applied Cultural Analysis (MACA)
KU,Mellemøstens sprog og samfund
KU,Pædagogik
KU,Religionsvidenskab
KU,Retorik
KU,"SAXO Arkæologi, Etnologi, Historie, Græsk og Latin"
KU,Teater- og performancestudier
KU,Tværkulturelle studier
KU,Tysk sprog og kultur
KU,Visuel kultur
KU,Østeuropastudier
KU,Jura Bachelor
KU,Jura Kandidat
KU,Jura Masteruddannelse
KU,Politiskolen - Grunduddannelsen
KU,Agricultural Economics
KU,Agriculture  Agronom
KU,Biokemi
KU,Biologi
KU,Biologi - bioteknologi
KU,Biology-Biotechnology
KU,Climate Change
KU,Datalogi
KU,Datalogi-Økonomi
KU,De fysiske fag
KU,De kemiske fag
KU,Environmental & Natural Resource Economics
KU,Environmental Science
KU,Food Science & Technology
KU,Forest & Nature Management
KU,Forsikringsmatematik
KU,Fødevarer og ernæring
KU,Geografi & geoinformatik
KU,Geologi & geoscience
KU,Idræt og fysisk aktivitet
KU,Integrated Food Studies
KU,Landscape Architecture
KU,Landskabsarkitektur og bydesign
KU,Machine learning og datavidenskab
KU,Matematik
KU,Matematik-Økonomi
KU,Medicinalkemi
KU,Miljø- og fødevareøkonomi
KU,Molekylær biomedicin
KU,Nanoscience
KU,Nature Management
KU,Naturforvaltning
KU,Naturressourcer
KU,Skov- og landskabsingeniør
KU,Antropologi
KU,Psykologi
KU,Samfundsfag
KU,Sociologi
KU,Statskundskab
KU,Økonomi
KU,Animal Science
KU,Farmaceutuddannelsen
